mass,weighing,date,ratname,tech,timeval
21.09,1093958,2022-10-01,R503,ER,0 days 07:54:25
21.06,1093969,2022-10-01,R500,ER,0 days 08:59:30
18.97,1093979,2022-10-01,R600,ER,0 days 09:03:13
21.18,1094141,2022-10-02,R502,ER,0 days 07:50:37
20.51,1094143,2022-10-02,R503,ER,0 days 07:51:43
22.07,1094144,2022-10-02,R501,ER,0 days 07:52:32
20.50,1094163,2022-10-02,R500,ER,0 days 08:58:50
18.52,1094166,2022-10-02,R600,ER,0 days 09:01:29
21.71,1094327,2022-10-03,R502,ER,0 days 07:49:23
20.36,1094328,2022-10-03,R503,ER,0 days 07:50:27
21.87,1094329,2022-10-03,R501,ER,0 days 07:51:24
19.84,1094331,2022-10-03,R500,ER,0 days 08:59:03
18.62,1094333,2022-10-03,R600,ER,0 days 09:04:09
22.00,1094544,2022-10-04,R501,JB,0 days 12:02:28
20.10,1094545,2022-10-04,R503,JB,0 days 12:09:08
21.90,1094546,2022-10-04,R502,JB,0 days 12:10:38
19.24,1094718,2022-10-05,R503,JL,0 days 09:34:44
22.07,1094720,2022-10-05,R500,JL,0 days 09:42:37
23.35,1094722,2022-10-05,R502,JL,0 days 09:43:33
23.15,1094724,2022-10-05,R501,JL,0 days 09:44:29
20.42,1094726,2022-10-05,R600,JL,0 days 10:44:28
21.21,1094894,2022-10-06,R500,JL,0 days 08:35:06
19.18,1094895,2022-10-06,R503,JL,0 days 08:35:50
22.31,1094897,2022-10-06,R501,JL,0 days 08:36:37
22.10,1094899,2022-10-06,R502,JL,0 days 08:37:41
19.89,1094901,2022-10-06,R600,JL,0 days 09:48:08
20.89,1095098,2022-10-07,R500,JL,0 days 08:31:24
21.83,1095099,2022-10-07,R502,JL,0 days 08:32:08
19.22,1095100,2022-10-07,R503,JL,0 days 08:32:51
22.10,1095101,2022-10-07,R501,JL,0 days 08:33:48
19.40,1095103,2022-10-07,R600,JL,0 days 09:37:28
21.97,1095267,2022-10-08,R501,ER,0 days 08:01:27
19.12,1095268,2022-10-08,R503,ER,0 days 08:02:36
22.03,1095269,2022-10-08,R502,ER,0 days 08:03:27
19.43,1095285,2022-10-08,R600,ER,0 days 09:17:11
20.70,1095286,2022-10-08,R500,ER,0 days 09:17:41
,1095566,2022-10-09,R501,FW,0 days 23:52:39
,1095567,2022-10-09,R503,FW,0 days 23:52:39
,1095568,2022-10-09,R600,FW,0 days 23:52:39
20.39,1095622,2022-10-10,R503,ER,0 days 07:53:06
22.23,1095623,2022-10-10,R502,ER,0 days 07:53:58
22.67,1095625,2022-10-10,R501,ER,0 days 07:55:35
